feature,mutual_info_score
rolling_volatility_20d,0.5479372064212908
rolling_squared_return_20d,0.54643643502249
rolling_abs_return_20d,0.49251470635062944
cpi_pct_change,0.47051774572747984
fed_funds_rate_pct,0.3550171800969806
rolling_volatility_5d,0.3202778544127307
risk_free_rate_decimal,0.29865529415963543
unemployment_rate_pct,0.22378689643338623
yield_curve_spread,0.1804731177158283
treasury_10yr_pct,0.18010747796242565
price_to_moving_avg_20d,0.15042697151796158
rolling_return_20d,0.14554263905452558
vix,0.14136488508933542
rolling_return_5d,0.13559002149480737
daily_return,0.12238573692251187
abs_return,0.12172565917085176
squared_return,0.1108475994437157
return_lag_1,0.10749598435680152
return_lag_5,0.09664845919272302
recession_flag,0.04075711205682153
is_inverted,0.019277723887079157
