model,MAE,RMSE,R2,model_run_timestamp,split_date,train_start_date,train_end_date,test_start_date,test_end_date,train_rows,test_rows,training_start_timestamp,training_end_timestamp,training_duration_seconds
Baseline: rolling_volatility_20d,0.0046471957325684545,0.007130185107893034,0.0015102059479311647,2026-07-20T23:25:49.799349,2024-01-01,2018-01-31,2023-12-29,2024-01-02,2025-12-01,31269,10101,,,
Gradient Boosting,0.0041125789289306715,0.00604766099268281,0.28168175522837346,2026-07-20T23:25:49.799349,2024-01-01,2018-01-31,2023-12-29,2024-01-02,2025-12-01,31269,10101,2026-07-20T23:25:49.812531,2026-07-20T23:25:51.296102,1.4838904999996885
