model,MAE,RMSE,R2,model_run_timestamp,split_date,train_start_date,train_end_date,test_start_date,test_end_date,train_rows,test_rows,training_start_timestamp,training_end_timestamp,training_duration_seconds
Baseline: rolling_volatility_20d,0.0046471957325684545,0.007130185107893033,0.0015102059479312757,2026-07-26T12:51:04.210883,2024-01-01,2018-01-31,2023-12-29,2024-01-02,2025-12-01,31269,10101,,,
Random Forest (tuned),0.0037412652061948526,0.005801509756606054,0.3389655789128202,2026-07-26T12:51:04.210883,2024-01-01,2018-01-31,2023-12-29,2024-01-02,2025-12-01,31269,10101,2026-07-26T12:51:04.224148,2026-07-26T12:51:43.129595,38.90486820000024
