Date,ticker,future_window_start,future_window_end,predicted_future_volatility_20d,actual_future_volatility_20d,error,absolute_error,squared_error
2026-07-10,AAPL,2026-07-13,2026-08-07,0.015416851250017708,0.023577015189405054,0.008160163939387345,0.008160163939387345,6.65882755176776e-05
2026-07-10,AGG,2026-07-13,2026-08-07,0.0023610091137137635,0.0024414159322238413,8.040681851007774e-05,8.040681851007774e-05,6.46525646291258e-09
2026-07-10,AMZN,2026-07-13,2026-08-07,0.01572073823368198,0.040712445096524996,0.024991706862843015,0.024991706862843015,0.0006245854119182746
2026-07-10,CAT,2026-07-13,2026-08-07,0.024673851202135357,0.027993209410886236,0.003319358208750879,0.003319358208750879,1.1018138918001844e-05
2026-07-10,GLD,2026-07-13,2026-08-07,0.015297298937717247,0.016451008323268963,0.0011537093855517166,0.0011537093855517166,1.3310453463101195e-06
2026-07-10,JPM,2026-07-13,2026-08-07,0.016065718303382884,0.013148115974649417,-0.0029176023287334676,0.0029176023287334676,8.512403348630953e-06
2026-07-10,KO,2026-07-13,2026-08-07,0.013242368431370843,0.018354566302239098,0.005112197870868255,0.005112197870868255,2.6134567070909917e-05
2026-07-10,LLY,2026-07-13,2026-08-07,0.016209082789311192,0.021365764567725692,0.005156681778414499,0.005156681778414499,2.6591366963832124e-05
2026-07-10,LMT,2026-07-13,2026-08-07,0.01610714022158696,0.02596402199490409,0.00985688177331713,0.00985688177331713,9.715811829315146e-05
2026-07-10,MSFT,2026-07-13,2026-08-07,0.01598747991776412,0.03853685272059345,0.02254937280282933,0.02254937280282933,0.0005084742138009791
2026-07-10,NEE,2026-07-13,2026-08-07,0.01288173041747958,0.008866324364013061,-0.0040154060534665185,0.0040154060534665185,1.6123485774215562e-05
2026-07-10,PG,2026-07-13,2026-08-07,0.015892052451271278,0.012193438544603351,-0.0036986139066679264,0.0036986139066679264,1.367974483059738e-05
2026-07-10,QQQ,2026-07-13,2026-08-07,0.016051238731005932,0.01652493291205754,0.00047369418105160793,0.00047369418105160793,2.2438617716215351e-07
2026-07-10,SPY,2026-07-13,2026-08-07,0.011895259942054131,0.009055416573386892,-0.002839843368667239,0.002839843368667239,8.064710358563292e-06
2026-07-10,TLT,2026-07-13,2026-08-07,0.00699539652223745,0.005738904279822023,-0.0012564922424154277,0.0012564922424154277,1.57877275525015e-06
2026-07-10,UNH,2026-07-13,2026-08-07,0.016424096795669158,0.01595574731994,-0.0004683494757291573,0.0004683494757291573,2.193512314157765e-07
2026-07-10,V,2026-07-13,2026-08-07,0.015841145407621705,0.013179214476542673,-0.0026619309310790314,0.0026619309310790314,7.0858762818352796e-06
2026-07-10,VNQ,2026-07-13,2026-08-07,0.01274591631917198,0.008487873972335566,-0.004258042346836414,0.004258042346836414,1.8130924627452156e-05
2026-07-10,VXUS,2026-07-13,2026-08-07,0.013285102292596216,0.011343361446408382,-0.0019417408461878342,0.0019417408461878342,3.7703575137542463e-06
2026-07-10,VZ,2026-07-13,2026-08-07,0.01695193837860949,0.018285153709125486,0.0013332153305159952,0.0013332153305159952,1.7774631175228744e-06
2026-07-10,XOM,2026-07-13,2026-08-07,0.016021594321539788,0.01517335325915163,-0.0008482410623881585,0.0008482410623881585,7.195128999213917e-07
