Date,ticker,trailing_volatility_20d,rolling_volatility_5d,daily_return,predicted_future_volatility_20d,prediction_target_date,prediction_minus_trailing,absolute_difference,ratio_predicted_to_trailing
2026-08-07,AMZN,0.040712445096525,0.0272630129099866,0.0081539746605248,0.0179922420045548,2026-08-10,-0.022720203091970204,0.022720203091970204,0.44193469495376786
2026-08-07,MSFT,0.0385368527205934,0.023417989944875,0.0002600825963716,0.0184153138228767,2026-08-10,-0.0201215388977167,0.0201215388977167,0.477862423182158
2026-08-07,LMT,0.0259640219949041,0.0122716654624867,0.0087501704293058,0.0159503821763477,2026-08-10,-0.010013639818556401,0.010013639818556401,0.6143263235364015
2026-08-07,CAT,0.0279932094108862,0.0309911074041485,-0.0172353658893568,0.0201156144146198,2026-08-10,-0.007877594996266401,0.007877594996266401,0.7185890734914123
2026-08-07,AAPL,0.0235770151894049,0.0133770643271567,0.0029447933784836,0.0167453717456047,2026-08-10,-0.0068316434438002,0.0068316434438002,0.7102413775060797
2026-08-07,LLY,0.0213657645677256,0.0279234538512763,-0.0052267570305596,0.0161194796341643,2026-08-10,-0.0052462849335613015,0.0052462849335613015,0.75445367672514
2026-08-07,NEE,0.0088663243640132,0.009861192387675,0.0005910526319112,0.0118589698659289,2026-08-10,0.0029926455019157003,0.0029926455019157003,1.337529440504377
2026-08-07,KO,0.0183545663022391,0.0047155477956379,0.0023028737035188,0.0156044178599187,2026-08-10,-0.0027501484423204017,0.0027501484423204017,0.8501654358357186
2026-08-07,VZ,0.0182851537091255,0.0104706805115602,0.0014896721073389,0.0159036038688598,2026-08-10,-0.002381549840265701,0.002381549840265701,0.8697550002504408
2026-08-07,SPY,0.0090554165733869,0.009079307733874,0.0061153484724176,0.0109899906319864,2026-08-10,0.0019345740585995,0.0019345740585995,1.213637223966598
2026-08-07,VXUS,0.0113433614464084,0.0076110842637521,0.0103104656255206,0.0129823028180527,2026-08-10,0.0016389413716443,0.0016389413716443,1.1444846291275705
2026-08-07,PG,0.0121934385446034,0.0118986069990387,-0.0080289033460529,0.0134150972104043,2026-08-10,0.001221658665800901,0.001221658665800901,1.1001898407354163
2026-08-07,TLT,0.005738904279822,0.0048783411988626,0.0029084525318412,0.0069596070145815,2026-08-10,0.0012207027347594995,0.0012207027347594995,1.2127065856545984
2026-08-07,XOM,0.0151733532591516,0.0143428402163222,-0.0116249231098524,0.0160085825556285,2026-08-10,0.0008352292964768984,0.0008352292964768984,1.0550457952313963
2026-08-07,JPM,0.0131481159746496,0.0078423662132229,0.0034240843741257,0.0137483939450058,2026-08-10,0.0006002779703561997,0.0006002779703561997,1.045655055942127
2026-08-07,QQQ,0.0165249329120575,0.0172112924280174,0.011726026161803,0.0160695543338204,2026-08-10,-0.0004553785782370999,0.0004553785782370999,0.9724429393655916
2026-08-07,V,0.0131792144765427,0.0122083208802391,-0.0215132161698433,0.013515235012707,2026-08-10,0.00033602053616430157,0.00033602053616430157,1.0254962491704172
2026-08-07,VNQ,0.0084878739723355,0.0048290446838501,0.0039779619135711,0.0087520999029279,2026-08-10,0.0002642259305923999,0.0002642259305923999,1.0311298131255944
2026-08-07,UNH,0.0159557473199399,0.015601417123383,0.0076985551951007,0.0161796162850132,2026-08-10,0.00022386896507330112,0.00022386896507330112,1.0140306160898858
2026-08-07,GLD,0.0164510083232689,0.0177118715989023,0.0225831793305304,0.0162280586786192,2026-08-10,-0.00022294964464970174,0.00022294964464970174,0.9864476608200147
2026-08-07,AGG,0.0024414159322238,0.0026029319823153,0.0017448236519843,0.0024610203456652,2026-08-10,1.9604413441399928e-05,1.9604413441399928e-05,1.0080299359001654
