strategy,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,cumulative_return
Historical Max Sharpe,0.2669056306489005,0.13711472012788445,1.6041773563520065,-0.1223126273766066,0.6682273402042087
RF Predictive Max Sharpe,0.271315200830036,0.15261660557477644,1.470127700638051,-0.153897304924369,0.6754819791938416
Historical Min Vol,0.15207289883649167,0.07642949028635648,1.3754324024067426,-0.06152693547990215,0.34507423275677973
Equal Weight,0.17369179148071998,0.10540308366909944,1.2024552382301026,-0.10570727504900156,0.39682631724913486
RF Predictive Min Vol,0.12969676706968256,0.07529813379901114,1.0989311620039601,-0.06347875500798608,0.2868031959102513
SPY Benchmark,0.21093586804743586,0.16373534148405014,1.0015343368383582,-0.18755234489427278,0.4811251448603626
