Date,Equal Weight,Historical Min Vol,Historical Max Sharpe,RF Predictive Min Vol,RF Predictive Max Sharpe,SPY Benchmark
2024-01-02,0.002311151311905845,0.001317660749974752,-0.0051706075987103944,-0.0008297989337798693,-0.006887973564707238,-0.0055963834865712
2024-01-03,-0.001278322715678325,7.357258103347637e-05,0.006678355577145995,0.0010614403067033705,0.006580930691209103,-0.0081668136642574
2024-01-04,-0.0028741976522841904,-0.0035779810165005002,-0.005485008812400808,-0.0039008236483449935,-0.005531810503279477,-0.0032209416128972
2024-01-05,0.0005326131624020648,-0.0011064340362391134,0.00025265016485476926,-0.0020839069664862426,0.0005832143422725555,0.00136953408324
2024-01-08,0.00825733234481477,0.0021809472516132037,0.009268482793197572,0.0046083587948642785,0.011805329997140252,0.0142761209247233
2024-01-09,-0.002333286482745315,-0.0029274633560513194,-0.0006710057253670067,-0.003123275522115132,-0.0002844792415646136,-0.0015171941605777
2024-01-10,0.0030537801975602553,-0.0015384358350505434,0.004597018606511699,-0.000850251330342916,0.006540069990445053,0.0056555316311188
2024-01-11,-0.00217317126307392,0.000732025312172944,0.003608384955681234,0.0015693998172528066,0.0032112212634628143,-0.0004407389796123
2024-01-12,0.0030574230573718105,0.004814440024339309,0.006495914751790734,0.004706251309211739,0.006697389025115319,0.0006928480695325
2024-01-16,-0.007322911125295621,-0.008908764551233418,-0.00940782562180058,-0.010239957987707032,-0.0078666702055075,-0.003671240707883
2024-01-17,-0.007459707180738891,-0.00565746039248247,-0.007592317026719133,-0.0042435551662719315,-0.006918734242747587,-0.0055586946897498
2024-01-18,0.0028654774629205356,9.793066167526013e-06,0.005872757816529656,0.0005002638825506204,0.007485002789583397,0.0088928103330867
2024-01-19,0.005114232128831505,0.003022096741224548,0.007958278392426764,0.0028108408091369673,0.009550509571620144,0.0124660828210911
2024-01-22,0.00228790035315605,0.0016446111591785731,0.0022945357882145456,0.0016484556252042617,0.0022623962634083397,0.0021143869939459
2024-01-23,0.00507238309481236,0.0034082381696107023,0.001550850716105057,-0.0046637590931522185,0.0021009530927326475,0.0029165435453932
2024-01-24,-0.0022932153712644406,-0.006019499381801259,-3.162741299077374e-05,-0.004282629166668326,0.001411195743695733,0.0010931330701962
2024-01-25,0.006920315610886801,0.007602261838239479,0.0013631841746860021,0.005153081101457981,0.0016668840941313767,0.0054387768102091
2024-01-26,0.0012502385290476155,-0.0001728935237109235,0.0024343583833764766,-0.0012868115665673574,0.001278271096600893,-0.0012703342866637
2024-01-29,0.006504949472758561,0.0051772678967528995,0.007614961513217936,0.006461623316434308,0.008586541386848934,0.0079193083119939
2024-01-30,0.0017649575654596224,0.005451361616513142,-0.00174352047909743,0.0055846620311248134,-0.002138571523581747,-0.0007733641731895
2024-01-31,-0.008043858700127075,0.0014631248669709092,-0.0063034534674591,-0.00010078955149961334,-0.009716004410187067,-0.0163173886337441
2024-02-01,0.01180615475998648,0.010446762877043323,0.016028909297997572,0.010817924581202688,0.01678675405338487,0.013088245442933
2024-02-02,0.00167816216202843,-0.010195155204135876,0.000792013647043518,-0.009178563847868344,0.0035195239241499823,0.0105274245211861
2024-02-05,-0.0046767978825306145,-0.008287749010566694,0.010790126249477838,-0.007436408440157839,0.011235178684287882,-0.0036411957005959
2024-02-06,0.004471597616198145,0.005394371455769112,0.003638947456235471,0.006490149140939568,0.003134372630664943,0.0029031899601519
2024-02-07,0.00434044399251765,-0.0016906827218787332,0.010113717594391001,0.0007146638983012408,0.012075013081229978,0.0083404963133724
2024-02-08,-0.0013039672180951902,-0.0033822876543472486,0.0015432975915224121,-0.0036585824595868127,0.0012015742292413268,0.0004416242430942
2024-02-09,0.0006518133094736198,-0.002500083877678335,0.0026541365190746813,-0.0012550846679885061,0.004156908927591203,0.005779335948262
2024-02-12,0.0008745748975086353,0.0010818936504666428,-0.0041756714256740235,0.0009364391454378596,-0.005220701917141366,-0.0004388927883461
2024-02-13,-0.011903888962290651,-0.010870066429183606,-0.009881794747882353,-0.009999631888499488,-0.009845700185037637,-0.0137729894706707
2024-02-14,0.00467964969684348,0.002414873378949415,0.007144761603961575,0.0025622931157974296,0.007756856873157161,0.009087603235319
2024-02-15,0.009086858269522095,0.00687245584423635,0.00206309798138945,0.0072186603575102905,0.0014900816779151943,0.0068997306531699
