model,MAE,RMSE,R2,model_run_timestamp,split_date,train_start_date,train_end_date,test_start_date,test_end_date,train_rows,test_rows,training_start_timestamp,training_end_timestamp,training_duration_seconds
Baseline: rolling_volatility_20d,0.0046471957325684545,0.007130185107893034,0.0015102059479311647,2026-07-26T12:50:50.047390,2024-01-01,2018-01-31,2023-12-29,2024-01-02,2025-12-01,31269,10101,,,
Linear Regression,0.005363143131622971,0.007764128802414995,-0.1839339748531985,2026-07-26T12:50:50.047390,2024-01-01,2018-01-31,2023-12-29,2024-01-02,2025-12-01,31269,10101,2026-07-26T12:50:50.067234,2026-07-26T12:50:50.077251,0.010219400000096357
