Date,Equal Weight,Historical Min Vol (matched),Historical Min Vol (252d cov),RF Predictive Min Vol,SPY Benchmark
2024-01-03,0.9987216772843217,1.000346204171537,0.9991488199732922,1.0017996357086474,0.9918331863357426
2024-01-04,0.9958511537841859,1.000129147677921,0.9983134289903574,1.0008295143747605,0.9886385495528214
2024-01-05,0.9963815572164847,0.9999024351213878,0.9972157511921866,1.0004762287529585,0.989992523742439
2024-01-08,1.0046090108766652,1.0036371711791507,0.9993430891872993,1.004740056970696,1.004125776725958
2024-01-09,1.0022649702511426,1.0015318395304085,0.998087176257465,1.0031902123076177,1.0026023229610237
2024-01-10,1.005325667170004,1.0034000195520314,0.9986457956130494,1.005107585334913,1.008272572111963
2024-01-11,1.0031409223200796,1.0028956683754648,0.999044441352823,1.0046879692050195,1.0078281870873593
2024-01-12,1.0062079485057742,1.0069143292211675,1.0037776572467896,1.009406541326658,1.0085264589012033
2024-01-16,0.9988395771253005,1.0016397930884233,0.9968467890277191,1.0042306032125985,1.004823915510308
2024-01-17,0.9913885263594127,0.998733374614595,0.9932506682779911,1.001230447331201,0.9992384061470273
2024-01-18,0.9942293278386934,1.0015469637838534,0.9956468462256151,1.0034359160405861,1.0081244437704286
2024-01-19,0.9993140474105527,1.0054729979184924,0.9969835577468971,1.005608039834806,1.0206918065804373
2024-01-22,1.0016003783725371,1.0060968565410626,0.9969489913775724,1.0070433439825561,1.0228499440610983
2024-01-23,1.0066808791995516,1.0008736247148728,0.9979949043891023,1.0046743943980638,1.0258331304633557
2024-01-24,1.0043723431334133,0.9980156631487107,0.9931871408900494,1.0009401505486422,1.026954502582768
2024-01-25,1.0113229167387423,1.0019013611861358,0.997678675156899,1.0037747159786043,1.032539878916555
2024-01-26,1.0125873116145578,1.000442356623678,0.9975462690067767,1.0038363561031216,1.0312282081060198
2024-01-29,1.0191741409133668,1.005103547259808,1.0030530496572163,1.0088495886774504,1.0393948222260363
2024-01-30,1.0209729400238927,1.0120191529442724,1.0078094196160174,1.0140165351282509,1.038590991508728
2024-01-31,1.0127603779576873,1.0066158458300394,1.0045523604013364,1.0092553298071665,1.0216438986687744
2024-02-01,1.0247171837146383,1.0173357726768104,1.0137214387473212,1.0196753347874874,1.0350154247698264
2024-02-02,1.0264368253191287,1.013474805101845,1.0091308530135374,1.016239850616215,1.0459114715323543
2024-02-05,1.0216363877479249,1.0089093868748358,1.0028716290445383,1.011628745674662,1.042103103179007
2024-02-06,1.0262047345839997,1.0119582553733337,1.0074332404942192,1.0150179523558287,1.0451285264455994
2024-02-07,1.030658918759318,1.0145680531405006,1.0100678388612634,1.018068365683245,1.0538454170674192
2024-02-08,1.0293149733162184,1.013431229470455,1.0076660979530707,1.0168273667472691,1.05431082075207
2024-02-09,1.0299858945154665,1.012229140377365,1.0058624806021577,1.0155253774602282,1.0604040371790842
2024-02-12,1.0308866943235977,1.0120657333499572,1.005630692504763,1.015540805665135,1.0599386334944332
2024-02-13,1.0186151335816667,1.002349713370254,0.9972062063578879,1.0058946972991347,1.0453401098557573
2024-02-14,1.0233818955827323,1.0058381681073016,0.9988488480283805,1.008846775474883,1.0548397460200913
2024-02-15,1.0326812218234873,1.0121263344637517,1.0057050609751637,1.0151450645467233,1.062117856149888
2024-02-16,1.0314495444849678,1.0121969800942807,1.00492515059289,1.0152950778878465,1.0568284039254354
2024-02-20,1.0275269254222006,1.017240638838167,1.0082822784602061,1.018928677357717,1.0510102924919495
2024-02-21,1.0320880509945094,1.0194411787576487,1.0112850284563681,1.0213158626464292,1.0519623845802863
2024-02-22,1.0422299127556345,1.0242992786438636,1.0162341043066077,1.0264411910829234,1.0737333264158007
2024-02-23,1.0433080839267777,1.027061165960229,1.0187869355490433,1.029009011461381,1.0744737685792327
2024-02-26,1.0385355135475023,1.0235036017618764,1.0154136111568686,1.0253759577976371,1.0705384900886386
2024-02-27,1.0370793608274578,1.0210430187648971,1.0124788447355595,1.0230474816007553,1.0725271479939826
2024-02-28,1.0364612355002856,1.0226057483988154,1.013295344387959,1.0243200933765728,1.071109785250489
2024-02-29,1.0390009301331495,1.0249461211532171,1.0135544027771932,1.026485403458642,1.0749601909239308
2024-03-01,1.044979040340017,1.0285802182487778,1.0187722710233544,1.0333646161131955,1.0850524069691503
2024-03-04,1.044448887984784,1.0321811817224698,1.0214175606109483,1.0376029791302472,1.0838886649559085
2024-03-05,1.0383593074220177,1.0337617276582896,1.0209961287672897,1.0381961160302944,1.0730562062914981
2024-03-06,1.0411673343206584,1.0367339616759086,1.024388728407317,1.0416414075154765,1.0784935873132446
2024-03-07,1.045503722463925,1.0379090357366645,1.0269387340983192,1.044465837334851,1.0891991358404085
2024-03-08,1.046610118053574,1.0407783454353001,1.0290724544192165,1.0458003642533653,1.0826616674182847
2024-03-11,1.0467625806953702,1.0445534524302533,1.0326560709156367,1.046743446693762,1.0817306605047419
2024-03-12,1.0515469026221822,1.0444928809638816,1.033471432666394,1.0478214832219115,1.0933672824601957
2024-03-13,1.0554600548184125,1.0468935409932407,1.0371176177138455,1.0513784592375786,1.0916534634893917
2024-03-14,1.0550778843071653,1.0412778885057747,1.0348975098194169,1.047927041185625,1.0894954590382246
2024-03-15,1.051590955955969,1.0422703583018504,1.0315783086171153,1.0471344957737199,1.082014345900631
2024-03-18,1.055424355960271,1.0447576514099743,1.0339345826268174,1.0498228824237816,1.0884449251243509
2024-03-19,1.0620168862597492,1.0491525926663057,1.0378545317785148,1.0543597726776428,1.0944934436413913
2024-03-20,1.06963089653614,1.0566302676074222,1.0447862055799984,1.0610835813063715,1.1046167885881994
2024-03-21,1.0705391469036536,1.058232655701697,1.0459071405712783,1.0641222707725502,1.1082671844174588
2024-03-22,1.0677531966844325,1.0549900655188762,1.0424204130829096,1.0610030219946156,1.1061661165897108
2024-03-25,1.0659998227738603,1.0513670313334174,1.0404393649385733,1.0591484344601687,1.1031100965395055
2024-03-26,1.0648610517404695,1.0537161379926623,1.0425185590447026,1.0613084164413362,1.1010726833246216
2024-03-27,1.0775307039409594,1.0652022495879776,1.0493091822947136,1.0711174771089256,1.1103256828071368
2024-03-28,1.0795587780082256,1.0678818686437532,1.0530814309184142,1.0750339394143424,1.1101137668232441
2024-04-01,1.074433707832564,1.0614633584772424,1.0506853036041064,1.0670450132112073,1.1081820455413187
2024-04-02,1.0701623747582794,1.0585322154299908,1.0485141190520326,1.0613966828778567,1.101136337937486
2024-04-03,1.0716225214476884,1.051379333422494,1.0485700950988355,1.0557883625307825,1.1023459086114
2024-04-04,1.066841835988433,1.0503070785578092,1.0440851545524743,1.055101955572195,1.0888907069586418
2024-04-05,1.0754689099618646,1.0524569768679033,1.0510497338786777,1.055509346965514,1.10026605898794
2024-04-08,1.0744153442790223,1.0507848573745102,1.0515513859033705,1.0543288510027358,1.100881386912294
2024-04-09,1.0759256644617445,1.0537616535798424,1.054278920437246,1.0573633052534863,1.1021550112875542
2024-04-10,1.0664635576808805,1.0480888573242948,1.0446936308656434,1.0491613738011407,1.0911190840121179
2024-04-11,1.0703327346793956,1.0453119651240366,1.0488466519648751,1.046233986863931,1.0993534766593116
2024-04-12,1.0582578877717146,1.03933573364084,1.0363903459171575,1.0412850989064053,1.0841790683412436
