strategy,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,cumulative_return
Equal Weight,0.17671375650580867,0.10753840595182852,1.1996184964041794,-0.10570727504900135,0.366092996493679
Historical Min Vol (252d cov),0.12944602603642114,0.07600448596137599,1.0754277112772603,-0.06974658008977894,0.25982522496094784
SPY Benchmark,0.22660645186364126,0.16714545711560921,1.070311806845755,-0.18755234489427264,0.4743724001048375
Historical Min Vol (matched),0.11566095678182024,0.07993398192165228,0.8501047926806662,-0.08173451544572484,0.22784560069218163
RF Predictive Min Vol,0.10934782109001719,0.0805274853853925,0.7654420741296918,-0.08692334965037951,0.21368560729572716
