risk_model,mean_predicted,mean_realized,bias,mean_absolute_error
RF predicted volatility,0.004273923365597257,0.00474756618760894,-0.0004736428220116825,0.0010975467953713333
Historical matched baseline,0.0036942772246789813,0.004753458909214134,-0.0010591816845351527,0.0012506249455201677
