Date,AAPL,AGG,AMZN,CAT,GLD,JPM,KO,LLY,LMT,MSFT,NEE,PG,QQQ,SPY,TLT,UNH,V,VNQ,VXUS,VZ,XOM
2018-01-02,,,,,,,,,,,,,,,,,,,,,
2018-01-03,-0.0001742174472473268,9.170413115922038e-05,0.012775310383486449,0.0015283905725345104,-0.002636850395774437,0.0010188953032674863,-0.0021960722295704116,0.005432413714211437,0.008381488650276214,0.004653838864489002,-0.021213422936776194,-0.0012131127641776818,0.009716649662995902,0.006325347193413267,0.004781479267869537,0.010490114335665712,0.009955074311600365,-0.002903236967875533,0.006971129235695539,-0.02054913717974216,0.01963996801149248
2018-01-04,0.004644997339854795,-0.0006413333005316213,0.004476012896857506,0.013733711148092187,0.00512737855482448,0.014325254142923294,0.014084463994950891,0.00446327574288552,0.017153791969163557,0.008801391749259757,-0.005138500707076332,0.007068335770678447,0.0017498000444322592,0.004214619192431712,-0.00015897677942999788,0.00434047570078433,0.0037184112540720182,-0.017226592223591908,0.008307272949346967,0.0032427068266782655,0.001384017767894763
2018-01-05,0.011385030479230451,-0.0006409392230276589,0.016162516530176196,0.015805097516832456,-0.0010361649479244672,-0.006419422505644423,-0.0002168938221319694,0.012277819002957546,0.009059885089174102,0.012398210811670696,0.004568678264531112,0.0006581760003760984,0.010042745203341585,0.006663959368514494,-0.0028551641844893894,0.01906874496268185,0.023948916122288555,0.0004936139551185992,0.006694323745175534,-0.002281293337059731,-0.0008058265562035372
2018-01-08,-0.0037140259685277677,-0.00027552981714529245,0.014424678832250848,0.02512933212471591,-0.00015961279955856167,0.0014770935609091929,-0.0015193397676309672,-0.005082546923060871,-0.004610573692117814,0.001020484229734775,0.008239860814398092,0.005261105759257978,0.003891021149943885,0.0018286783836762854,-0.0006365127865962661,-0.017356845675243093,0.004038404940074791,0.005182248606634632,-0.0005115236753122643,-0.0017149687141416736,0.004495640239793985
2018-01-09,-0.00011447189658775336,-0.0027519360049889086,0.0046757095740346255,0.0024094621432813046,-0.0046284750854691525,0.005068932363922585,0.004999496988020269,-0.000812811007119496,0.007161508091109603,-0.0006798494987065862,-0.007322464701056686,-0.007304863044380383,6.147091979324948e-05,0.0022637977639310414,-0.013372879761407108,0.0049832936143177076,-0.0019273834126418699,-0.012888309216102845,0.0008530315900479035,-0.003667983553615417,-0.0042461750262930975
2018-01-10,-0.000229812493599435,0.0,0.0013012055442500614,-0.003364744044557666,0.002405158456580736,0.01100423650948068,-0.003460544333516946,0.0004649701287513519,0.0016335988789453193,-0.004534280008791303,-0.008232183063905274,-0.006370468935661955,-0.0023371393390696493,-0.0015300582565502818,-0.0012099664476814542,-0.0074374473243390415,-0.0010910864444491075,-0.011191641659710205,-0.003408883591460299,0.001550179264498519,-0.007952017801870381
2018-01-11,0.00567996736380616,0.0004596521378497087,0.01781828254348916,0.020076280601613927,0.003279242310744168,0.005351306210624518,-0.0006512532776643543,0.003367888832518595,0.00024148734027740204,0.0029606877030936563,-0.00059787776900877,-0.0035369035943643157,0.006843804642617579,0.007296033575906691,0.004119341449549285,0.005307448490725841,0.007227793263837379,-0.003395240984383152,0.006327989293174019,0.008125410146039735,0.009874471969128162
2018-01-12,0.010326390046206946,-0.00018365065532299774,0.022339231610462695,0.006501094949640462,0.012117319941670202,0.016510162764459935,0.0023891975562679857,0.006829790715969786,0.015461965400944244,0.017257141386811004,-0.0011957181472402878,-0.005990094590998862,0.00734880604848831,0.00651910753471352,0.0016892823220715503,0.014419446550224757,0.0020861738312418776,-0.008075557160604707,0.009687149009540708,-0.00479761246806909,0.0067870533475244965
2018-01-16,-0.005081948118201063,0.00027602060031650666,-0.0002605871874575838,-0.005813729180187854,0.0016540570729914883,-0.003550142278277546,0.008233870245743624,-0.01942958512117099,-0.018260128518467367,-0.013951108164655834,0.0014629944365389669,0.006807268204573447,-0.002857410475186062,-0.003418461430316655,0.0041761315171036095,0.018631969441743612,0.002498008120717765,0.001908423645028634,-0.0010099601600207508,-0.0038565924102871296,-0.006284219329063756
