Date,AAPL,AGG,AMZN,CAT,GLD,JPM,KO,LLY,LMT,MSFT,NEE,PG,QQQ,SPY,TLT,UNH,V,VNQ,VXUS,VZ,XOM
2018-01-02,40.26708221435547,85.27565002441406,59.45050048828125,131.29388427734375,125.1500015258789,85.90128326416016,35.02423095703125,74.89775848388672,254.2613067626953,78.69991302490234,31.33409309387207,72.28069305419922,150.05723571777344,235.9542694091797,98.34246826171875,191.99391174316406,107.88825988769531,59.6452751159668,44.600650787353516,33.71294403076172,58.18549346923828
2018-01-03,40.260066986083984,85.2834701538086,60.209999084472656,131.4945526123047,124.81999969482422,85.98880767822266,34.94731521606445,75.30463409423828,256.39239501953125,79.06616973876953,30.669389724731445,72.19300842285156,151.51528930664062,237.44676208496094,98.81269073486328,194.00794982910156,108.96229553222656,59.472110748291016,44.91156768798828,33.020172119140625,59.32825469970703
2018-01-04,40.44707489013672,85.22877502441406,60.47949981689453,133.3004608154297,125.45999908447266,87.22061920166016,35.43952941894531,75.64073944091797,260.7904968261719,79.7620620727539,30.511795043945312,72.70329284667969,151.78041076660156,238.447509765625,98.79698181152344,194.85003662109375,109.36746215820312,58.447608947753906,45.28466033935547,33.12724685668945,59.41036605834961
2018-01-05,40.90756607055664,85.17414855957031,61.457000732421875,135.40728759765625,125.33000183105469,86.66071319580078,35.43184280395508,76.56944274902344,263.1532287597656,80.75096893310547,30.651193618774414,72.75114440917969,153.30470275878906,240.03651428222656,98.51490020751953,198.56558227539062,111.9866943359375,58.47645950317383,45.58781051635742,33.051673889160156,59.362491607666016
2018-01-08,40.75563430786133,85.15068054199219,62.34349822998047,138.8099822998047,125.30999755859375,86.7887191772461,35.37800979614258,76.1802749633789,261.93994140625,80.8333740234375,30.90375518798828,73.13389587402344,153.90121459960938,240.4754638671875,98.45219421386719,195.11911010742188,112.4389419555664,58.77949905395508,45.564491271972656,32.994991302490234,59.629364013671875
2018-01-09,40.75096893310547,84.91635131835938,62.6349983215332,139.14443969726562,124.7300033569336,87.22864532470703,35.55488204956055,76.11835479736328,263.8158264160156,80.7784194946289,30.67746353149414,72.59966278076172,153.91067504882812,241.0198516845703,97.13560485839844,196.09144592285156,112.22222900390625,58.02193069458008,45.60335922241211,32.873966217041016,59.37616729736328
2018-01-10,40.74160385131836,84.91635131835938,62.71649932861328,138.67625427246094,125.02999877929688,88.18852996826172,35.43184280395508,76.15374755859375,264.2467956542969,80.41214752197266,30.4249210357666,72.13716888427734,153.55096435546875,240.6510772705078,97.01807403564453,194.63302612304688,112.09978485107422,57.3725700378418,45.44790267944336,32.9249267578125,58.90400695800781
2018-01-11,40.97301483154297,84.95538330078125,63.83399963378906,141.46035766601562,125.44000244140625,88.66045379638672,35.40876770019531,76.41022491455078,264.31060791015625,80.65022277832031,30.40673065185547,71.88202667236328,154.60183715820312,242.40687561035156,97.417724609375,195.66603088378906,112.91001892089844,57.17777633666992,45.735496520996094,33.19245529174805,59.485652923583984
2018-01-12,41.3961181640625,84.93978118896484,65.26000213623047,142.3800048828125,126.95999908447266,90.12425231933594,35.49336624145508,76.93209075927734,268.3973693847656,82.0420150756836,30.370372772216797,71.45144653320312,155.73797607421875,243.98715209960938,97.58229064941406,198.4874267578125,113.14556884765625,56.716033935546875,46.17854309082031,33.03321075439453,59.88938522338867
2018-01-16,41.18574523925781,84.96322631835938,65.24299621582031,141.55224609375,127.16999816894531,89.8042984008789,35.785614013671875,75.43733215332031,263.49639892578125,80.8974380493164,30.414804458618164,71.93783569335938,155.29296875,243.15309143066406,97.98980712890625,202.18563842773438,113.42820739746094,56.82427215576172,46.13190460205078,32.90581512451172,59.51302719116211
