model,MAE,RMSE,R2,model_run_timestamp,split_date,train_start_date,train_end_date,test_start_date,test_end_date,train_rows,test_rows,training_start_timestamp,training_end_timestamp,training_duration_seconds
Baseline: rolling_volatility_20d,0.004017523822350862,0.006627505988653324,-0.41924337560849434,2026-07-20T23:27:04.786681,2024-01-01,2018-01-31,2023-12-29,2024-01-02,2025-12-01,1489,481,,,
"GARCH(1,1)",0.003815100324075373,0.00602698570372313,-0.1736995572199329,2026-07-20T23:27:04.786681,2024-01-01,2018-01-31,2023-12-29,2024-01-02,2025-12-01,1489,481,2026-07-20T23:27:04.797188,2026-07-20T23:27:04.805186,0.008336400000189315
