model,MAE,RMSE,R2,model_run_timestamp,split_date,train_start_date,train_end_date,test_start_date,test_end_date,train_rows,test_rows,training_start_timestamp,training_end_timestamp,training_duration_seconds
Neural Network MLP,0.0066710064017528325,0.009094239058556197,-0.62433182370917,2026-07-29T15:33:00.786612,2024-01-01,2018-01-31,2023-12-29,2024-01-02,2025-12-01,31269,10101,2026-07-29T15:39:56.008693,2026-07-29T15:40:44.534586,48.52560699963942
Baseline: rolling_volatility_20d,0.0046471957325684545,0.007130185107893033,0.0015102059479314978,2026-07-29T15:33:00.786612,2024-01-01,2018-01-31,2023-12-29,2024-01-02,2025-12-01,31269,10101,,,
